ID	MosquitoSpecies	Landscape	BloodSource_Species	BloodSource_Class1	BloodSource_Class2	BloodSource_Class3	BloodSource_Class4	BloodSource_Order	Lat_dec	Long_dec	Location	Database	StudyType	Title	Year	Author1	Author2	Author3	Author4	InstAut1	InstAut2	InstAut3	InstAut4
Mucci2015	Aedes_serratus	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-21.2559	-49.8491	"Ubarana,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Mansonia_humeralis	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-21.2559	-49.8491	"Ubarana,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Wyeomyia_sp.	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-21.2559	-49.8491	"Ubarana,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_scapularis	rural	"primate,bird,Bos_taurus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla"	-21.1043	-50.159	"Buritama,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_scapularis	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-20.8455	-50.7823	"Santo_Antonio_do_Aracangu†,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_scapularis	rural	"Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Artyodactyla,Perissodactyla"	-20.8644	-50.9528	"Pereira_Barreto,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_serratus	rural	"Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Artyodactyla,Perissodactyla"	-20.8644	-50.9528	"Pereira_Barreto,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_scapularis	rural	"primate,non-human-primate,bird,Bos_taurus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla"	-20.5785	-49.9382	"Sebastianopolis_do_Sul,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Psorophora_albigenu	rural	"primate,non-human-primate,bird,Bos_taurus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla"	-20.5785	-49.9382	"Sebastianopolis_do_Sul,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_scapularis	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-20.507	-50.186	"Valentim_Gentil,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_serratus	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-20.507	-50.186	"Valentim_Gentil,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Psorophora_albigenu	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-20.507	-50.186	"Valentim_Gentil,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Psorophora_ferox	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-20.507	-50.186	"Valentim_Gentil,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_serratus	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-20.4866	-50.3216	"S∆o_Jo∆o_do_Iracema,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
