ID	MosquitoSpecies	Landscape	Landscape	BloodSourceSpecies	BloodSource_Class	BloodSource_Order	LatN_dec	LongW_dec	Location	Database	StudyType	Title	Year	Author1	Author2	Author3	Author4	Author5	InstAut1	InstAut2	InstAut3	InstAut4	InstAut5		
Juache-Villagrana2020	Aedes_aegypti	suburban	urban	"Canis_lupus_familiaris,Homo_sapiens_sapiens,Felis_catus,Gallus_gallus_domesticus"	"Mammalia,Aves"	"Carnivora, Primates, Galliformes"	31.774893	-106.555924	"Cd_Juarez,Chihuahua,Mexico"	Scopus	article	Host selection of Aedes aegypti and Culex quinquefasciatus females in a semi-desert environment in Northern Mexico	2020	Juache-Villagrana A.E.	De la Mora-Covarrubias A.	Esc†rcega-µvila A.	JimÇnez -Vega F.	NA	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	NA		
Juache-Villagrana2020	Culex_quinquefasciatus	suburban	urban	"Canis_lupus_familiaris,Homo_sapiens_sapiens,Felis_catus,Gallus_gallus_domesticus,Sus_scrofa_domesticus,Ovis_aries,Anas_platyrhynchos_domesticus,Oryctolagus_cuniculus_domesticus,Meleagris_gallopavo"	"Mammalia,Aves"	"Carnivora, Primates, Galliformes, Artiodactyla, Anseriformes, Lagormorpha, "	31.774893	-106.555924	"Cd_Juarez,Chihuahua,Mexico"	Scopus	article	Host selection of Aedes aegypti and Culex quinquefasciatus females in a semi-desert environment in Northern Mexico	2020	Juache-Villagrana A.E.	De la Mora-Covarrubias A.	Esc†rcega-µvila A.	JimÇnez -Vega F.	NA	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	NA		
Moreno2017	Anopheles_darlingi	peridomestic	urban	"Homo_sapiens_sapiens,Rattus_norvergicus,Galliformes,Canis_lupus_familiaris,Sus_scrofa,Capra_aegagrus_hircus"	"Mammalia,Aves"	"Primates, Rodentia, Galliformes, Carnivora, Artiodactyla"	-3.743181	-73.326919	"Iquitos,Peru"	Scopus	article	Intensive trapping of blood-fed Anopheles darlingi in Amazonian Peru reveals unexpectedly high proportions of avian blood-meals	2017	Moreno M.	Saavedra M.P.	Bickersmith S.A.	Prussing C.	"Michalski A., Tong Rios C., Vinetz J.M., Conn J.E."	University_of_California	Universidad_Peruana_Cayetano_Heredia	New_York_State_Department_of_Health	New_York_State_Department_of_Health	State_University_of_New_York-Albany		
Moreno2017	Anopheles_darlingi	peridomestic	urban	"Homo_sapiens_sapiens,Rattus_norvergicus,Galliformes,Canis_lupus_familiaris,Sus_scrofa"	"Mammalia,Aves"	"Primates,Rodentia, Galliformes, Carvinora, Artiodactyla"	-4.23035	-73.487833	"Iquitos,Peru"	Scopus	article	Intensive trapping of blood-fed Anopheles darlingi in Amazonian Peru reveals unexpectedly high proportions of avian blood-meals	2017	Moreno M.	Saavedra M.P.	Bickersmith S.A.	Prussing C.	"Michalski A., Tong Rios C., Vinetz J.M., Conn J.E."	University_of_California	Universidad_Peruana_Cayetano_Heredia	New_York_State_Department_of_Health	New_York_State_Department_of_Health	State_University_of_New_York-Albany		
Moreno2017	Anopheles_darlingi	wild	wild	"Homo_sapiens_sapiens,Rattus_norvergicus,Galliformes,Canis_lupus_familiaris,Sus_scrofa,monkey"	"Mammalia,Aves"	"Primates, Rodentia, Galliformes, Carnivora, Artiodactyla"	-4.198911	-74.215261	"Iquitos,Peru"	Scopus	article	Intensive trapping of blood-fed Anopheles darlingi in Amazonian Peru reveals unexpectedly high proportions of avian blood-meals	2017	Moreno M.	Saavedra M.P.	Bickersmith S.A.	Prussing C.	"Michalski A., Tong Rios C., Vinetz J.M., Conn J.E."	University_of_California	Universidad_Peruana_Cayetano_Heredia	New_York_State_Department_of_Health	New_York_State_Department_of_Health	State_University_of_New_York-Albany		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,bird"	"Mammalia,Aves"	Primates	-21.5212	-49.3683	"Novo Horizonte,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,bird"	"Mammalia,Aves"	Primates	-21.5212	-49.3683	"Novo Horizonte,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_ferox	forest_secondary_succession	rural	"primate,bird"	"Mammalia,Aves"	Primates	-21.5212	-49.3683	"Novo Horizonte,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,bird,Bos_taurus"	"Mammalia,Aves"	"Primates,Artiodactyla "	-21.4257	-49.5004	"Sales,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-21.2559	-49.8491	"Ubarana,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
